"","volatile.acidity","citric.acid","sulphates","alcohol","quality"
"588",0.73,0.24,0.59,9.3,"normal"
"589",0.42,0.24,0.74,14,"bueno"
"590",0.29,0.49,0.74,10.5,"bueno"
"591",0.45,0.49,0.57,9.7,"normal"
"592",0.39,0.49,0.5,11.5,"normal"
"593",0.45,0.49,0.57,9.7,"normal"
"594",0.49,0.58,0.58,9,"normal"
"595",0.72,0.17,0.53,9.5,"normal"
"596",0.595,0.41,0.57,9.3,"normal"
"597",0.4,0.51,0.6,9.3,"normal"
"598",0.58,0.58,0.63,10,"normal"
"599",0.585,0.18,0.48,9.8,"normal"
"600",0.59,0.45,0.7,9.3,"normal"
"601",0.915,0.27,0.47,10,"pobre"
"602",0.46,0.52,0.56,9,"normal"
"603",0.835,0,0.52,9.3,"normal"
"604",0.46,0.52,0.56,9,"normal"
"605",0.58,0.13,0.62,9.1,"normal"
"606",0.6,0.13,0.59,9.2,"normal"
"607",0.41,0.48,0.79,12.2,"bueno"
"608",0.48,0.41,0.53,10.5,"normal"
"609",0.65,0.37,0.64,10.4,"normal"
"610",0.36,0.19,0.52,12.7,"normal"
"611",0.24,0.54,0.54,9.2,"normal"
"612",0.38,0.55,0.54,9.4,"normal"
"613",0.64,0,0.6,10,"normal"
"614",0.39,0.38,0.74,9.8,"normal"
"615",0.755,0.18,1.36,10.2,"normal"
"616",0.6,0.5,0.57,9.7,"normal"
"617",0.6,0.5,0.57,9.7,"normal"
"618",0.31,0.51,0.93,9.8,"normal"
"619",0.46,0.5,0.7,10.2,"normal"
"620",0.37,0.41,0.8,9.3,"normal"
"621",0.54,0.24,0.61,9.4,"normal"
"622",0.56,0.23,0.62,9.4,"normal"
"623",0.58,0.22,0.55,9.5,"normal"
"624",0.51,0.25,0.96,12.1,"normal"
"625",0.69,0,0.72,10.2,"normal"
"626",0.69,0,0.72,10.2,"normal"
"627",0.6,0.29,0.49,9.1,"normal"
"628",0.6,0.29,0.49,9.1,"normal"
"629",0.54,0.26,0.6,9.3,"normal"
"630",0.685,0.23,0.61,9.3,"normal"
"631",0.54,0.26,0.6,9.3,"normal"
"632",0.28,0.54,0.63,9.5,"normal"
"633",0.41,0.14,0.57,10.5,"normal"
"634",0.935,0.22,0.64,11.3,"pobre"
"635",0.35,0.21,0.58,9.5,"normal"
"636",0.84,0,0.55,9.7,"normal"
"637",0.88,0.28,0.53,9.4,"normal"
"638",0.885,0.27,0.53,9.4,"normal"
"639",0.915,0.12,0.65,10.2,"bueno"
"640",0.29,0.35,1.36,10.3,"normal"
"641",0.54,0.45,0.62,9.4,"normal"
"642",0.59,0.44,0.63,9.5,"normal"
"643",0.54,0.45,0.62,9.4,"normal"
"644",0.59,0.44,0.63,9.5,"normal"
"645",0.54,0.45,0.62,9.4,"normal"
"646",0.64,0.1,0.69,10.1,"bueno"
"647",0.67,0.05,0.63,10.1,"normal"
"648",0.845,0.01,0.58,11,"pobre"
"649",0.48,0.3,0.67,11.2,"bueno"
"650",0.42,0.27,0.57,11.3,"normal"
"651",0.43,0.39,0.5,9.6,"normal"
"652",0.88,0.25,0.67,11.2,"normal"
"653",0.36,0.65,0.84,14.9,"normal"
"654",0.33,0.59,0.54,12,"normal"
"655",0.47,0.47,0.46,9.5,"normal"
"656",0.55,0.17,0.61,9.4,"normal"
"657",0.43,0.39,0.5,9.6,"normal"
"658",0.5,0.59,0.68,10.5,"bueno"
"659",0.52,0.07,0.81,9.6,"normal"
"660",0.84,0.02,0.57,11,"pobre"
"661",0.52,0.07,0.81,9.6,"normal"
"662",0.42,0.31,0.64,9,"normal"
"663",0.57,0.06,0.7,9.6,"normal"
"664",0.28,0.46,0.79,10.2,"normal"
"665",0.4,0.52,0.66,10.2,"normal"
"666",0.59,0.14,0.56,9.7,"normal"
"667",0.49,0.36,0.6,9.5,"normal"
"668",0.34,0.45,0.66,9.2,"normal"
"669",0.73,0.43,0.57,11,"normal"
"670",0.34,0.45,0.66,9.2,"normal"
"671",0.4,0.24,0.58,10,"normal"
"672",0.73,0.21,0.52,9.5,"normal"
"673",1.24,0.34,0.53,9.5,"normal"
"674",0.73,0.21,0.52,9.5,"normal"
"675",0.4,0.41,0.67,9.3,"normal"
"676",0.41,0.39,0.65,10.2,"normal"
"677",0.4,0.41,0.67,9.3,"normal"
"678",0.8,0.11,0.48,9.9,"normal"
"679",0.78,0.1,0.53,10,"normal"
"680",0.26,0.45,0.54,9.6,"normal"
"681",0.43,0.58,0.49,9,"normal"
"682",0.45,0.23,0.49,10.2,"normal"
"683",0.46,0.31,0.54,9.8,"normal"
"684",0.78,0.23,0.56,11.3,"normal"
"685",0.98,0.32,0.48,9.4,"normal"
"686",0.78,0.23,0.56,11.3,"normal"
"687",0.65,0.18,0.6,9.1,"normal"
"688",0.64,0.23,0.59,9.7,"normal"
"689",0.66,0.04,0.47,9.4,"normal"
"690",0.38,0.48,1.05,9.4,"normal"
"691",1.185,0,0.54,10.7,"pobre"
"692",0.92,0.24,0.54,9.8,"normal"
"693",0.49,0.51,1.17,9,"normal"
"694",0.48,0.32,0.62,9.4,"normal"
"695",0.47,0.31,0.61,9.4,"normal"
"696",0.47,0.02,0.62,12.8,"normal"
"697",0.65,0.02,0.67,9.5,"normal"
"698",0.65,0.02,0.67,9.5,"normal"
"699",0.615,0.28,0.53,9.7,"normal"
"700",0.38,0.55,0.62,10.8,"normal"
"701",1.02,0.43,0.57,10.1,"normal"
"702",0.65,0.02,0.67,9.5,"normal"
"703",0.64,0.02,0.67,9.4,"normal"
"704",0.38,0.48,0.7,9.6,"pobre"
"705",0.765,0.04,0.54,9.7,"pobre"
"706",1.035,0.15,0.49,9.9,"normal"
"707",0.78,0.08,0.47,10,"normal"
"708",0.49,0.19,0.51,10.5,"normal"
"709",0.545,0.12,0.61,11.6,"normal"
"710",0.31,0.47,0.66,10,"normal"
"711",1.025,0.43,0.57,10.1,"normal"
"712",0.565,0.34,0.61,9.5,"normal"
"713",0.69,0,0.45,9.4,"normal"
"714",0.43,0.36,0.46,9.4,"normal"
"715",0.74,0.28,0.51,9.8,"normal"
"716",0.49,0.18,0.48,9.2,"normal"
"717",0.43,0.36,0.46,9.4,"normal"
"718",0.46,0.11,0.57,10,"normal"
"719",0.56,0.04,0.44,9.6,"normal"
"720",0.66,0,0.54,9.5,"normal"
"721",0.56,0.04,0.44,9.6,"normal"
"722",0.48,0.24,0.53,9.2,"normal"
"723",0.42,0.08,0.59,10,"normal"
"724",0.31,0.3,NA,9.5,NA
"725",1.115,0.1,0.6,11.2,"pobre"
"726",0.66,0.17,0.55,10.4,"normal"
"727",0.72,0.09,0.72,11.1,"normal"
"728",0.57,0.02,0.68,9.5,"normal"
"729",0.57,0.02,0.68,9.5,"normal"
"730",0.865,0.03,0.49,12.7,"normal"
"731",0.55,0.66,0.67,9.6,"normal"
"732",0.875,0.13,0.52,11.5,"normal"
"733",0.835,0.03,0.47,9.6,"normal"
"734",0.45,0.34,0.6,9.5,"normal"
"735",0.56,0.2,0.62,9.3,"normal"
"736",0.965,0.1,0.5,9.5,"normal"
"737",0.965,0.1,0.5,9.5,"normal"
"738",0.59,0,0.65,9.3,"normal"
"739",0.46,0.23,0.56,9.2,"normal"
"740",0.69,0,0.6,9.3,"normal"
"741",0.76,0.29,0.68,11.5,"normal"
"742",0.53,0.24,0.57,9.5,"normal"
"743",0.615,0,0.65,9.2,"normal"
"744",0.41,0.58,0.53,10,"normal"
"745",0.39,0.54,0.51,9.5,"normal"
"746",0.51,0.18,0.73,9.5,"normal"
"747",0.34,0.38,0.47,9,"normal"
"748",0.33,0.4,0.48,9.4,"normal"
"749",0.5,0.18,0.72,9.6,"normal"
"750",0.51,0.18,0.73,9.5,"normal"
"751",0.65,0.1,0.55,9.5,"normal"
"752",0.65,0.1,0.55,9.5,"normal"
"753",0.54,0.13,0.61,9.4,"normal"
"754",0.65,0.1,0.55,9.5,"normal"
"755",0.48,0.68,1.06,9.1,"normal"
"756",0.91,0.07,0.43,10.7,"normal"
"757",0.98,0.01,0.46,11.2,"normal"
"758",0.87,0,0.5,9.8,"normal"
"759",0.87,0,0.5,9.8,"normal"
"760",0.42,0.21,0.52,9.2,"normal"
"761",0.58,0.25,0.57,9.7,"normal"
"762",0.655,0.26,0.42,9.6,"normal"
"763",0.7,0,0.53,10,"normal"
"764",0.655,0.26,0.42,9.6,"normal"
"765",0.68,0.11,0.55,9.5,"normal"
"766",0.67,0.1,0.54,9.5,"normal"
"767",0.59,0.18,0.54,9.4,"normal"
"768",0.6,0.32,0.62,9.5,"normal"
"769",0.59,0.02,0.53,9.7,"normal"
"770",0.72,0.01,0.54,9.6,"normal"
"771",0.59,0.02,0.53,9.7,"normal"
"772",0.685,0.26,0.55,9.4,"normal"
"773",0.57,0.27,0.55,9.4,"normal"
"774",0.4,0.29,0.92,9.5,"normal"
"775",0.4,0.3,0.91,9.5,"normal"
"776",1,0,0.46,10,"normal"
"777",0.765,0.18,0.6,10.3,"normal"
"778",0.635,0.17,0.59,10.3,"normal"
"779",0.43,0.3,0.61,10.5,"normal"
"780",0.52,0.03,0.6,9.8,"normal"
"781",0.57,0,0.6,9.4,"normal"
"782",0.46,0.14,0.65,9.8,"normal"
"783",0.82,0.05,0.53,10,"normal"
"784",0.46,0.14,0.65,9.8,"normal"
"785",0.59,0.01,0.59,9.8,"normal"
"786",0.35,0.41,0.5,9.5,"normal"
"787",0.35,0.41,0.5,9.5,"normal"
"788",0.56,0.24,0.56,10.1,"normal"
"789",0.56,0.24,0.56,10.1,"normal"
"790",0.63,0.17,0.52,9.3,"normal"
"791",0.37,0.43,0.68,9.7,"normal"
"792",0.64,0.17,0.54,9.6,"normal"
"793",0.61,0.02,0.6,9.7,"normal"
"794",0.6,0,0.56,10.8,"normal"
"795",0.27,0.54,0.53,12.5,"normal"
"796",0.89,0.3,1.18,10.2,"normal"
"797",0.46,0.31,0.74,9.6,"normal"
"798",0.37,0.44,0.81,10.8,"bueno"
"799",0.5,0.34,0.52,10.7,"normal"
"800",0.5,0.34,0.52,10.7,"normal"
"801",0.61,0.08,0.51,9.4,"normal"
"802",0.55,0.09,0.44,10,"normal"
"803",0.585,0,0.94,12.9,"bueno"
"804",0.56,0.08,0.66,9.6,"normal"
"805",0.52,0.22,0.57,9.9,"normal"
"806",0.28,0.4,0.7,12.8,"bueno"
"807",0.25,0.39,0.71,12.5,"bueno"
"808",0.28,0.4,0.7,12.8,"bueno"
"809",0.53,0.12,0.86,9.2,"normal"
"810",0.48,0.31,0.55,10.3,"normal"
"811",0.49,0.1,0.47,10.5,"normal"
"812",0.5,0.55,0.68,10.9,"normal"
"813",0.45,0.33,0.71,10.8,"normal"
"814",0.39,0.24,0.58,11.4,"pobre"
"815",0.41,0.54,0.76,11.3,"normal"
"816",0.45,0.33,0.71,10.8,"normal"
"817",0.51,0.19,0.58,10.5,"normal"
"818",0.29,0.42,0.73,11.9,"normal"
"819",0.715,0,0.45,9.4,"normal"
"820",0.66,0.15,0.54,9.6,"normal"
"821",0.685,0,0.6,9.7,"normal"
"822",0.42,0,0.74,14,"bueno"
"823",0.54,0.13,0.64,9.8,"normal"
"824",0.54,0.13,0.64,9.8,"normal"
"825",0.48,0.28,0.53,10.3,"normal"
"826",0.46,0.14,0.49,10.7,"normal"
"827",0.27,0.34,0.64,11,"bueno"
"828",0.46,0.14,0.49,10.7,"normal"
"829",0.57,0.09,0.74,12.7,"bueno"
"830",0.61,0.08,0.77,11.1,"normal"
"831",0.685,0.07,0.55,10.9,"pobre"
"832",0.61,0.08,0.77,11.1,"normal"
"833",0.44,0.42,0.86,9.9,"pobre"
"834",0.47,0.44,0.86,9.9,"pobre"
"835",0.685,0.26,0.47,9.4,"normal"
"836",0.665,0.1,0.51,9.3,"normal"
"837",0.28,0.28,0.39,11.7,"bueno"
"838",0.28,0.28,0.39,11.7,"bueno"
"839",0.31,0.35,0.83,11.2,"bueno"
"840",0.5,0.04,0.47,10,"normal"
"841",0.42,0.47,0.77,12.1,"bueno"
"842",0.66,0,0.63,10.3,"normal"
"843",0.5,0.45,0.72,10.9,"normal"
"844",0.685,0.35,0.62,9.4,"normal"
"845",0.25,0.46,0.83,10.6,"normal"
"846",0.64,0.21,0.66,9.8,"normal"
"847",0.64,0.21,0.66,9.8,"normal"
"848",0.68,0.16,0.7,9.9,"normal"
"849",0.64,0.21,0.66,9.8,"normal"
"850",0.63,0.21,0.66,9.8,"normal"
"851",0.43,0.44,0.55,9.5,"normal"
"852",0.43,0.44,0.55,9.5,"normal"
"853",0.42,0.32,1.07,9.7,"normal"
"854",0.36,0.39,0.73,10.9,"normal"
"855",0.36,0.39,0.73,10.9,"normal"
"856",0.735,0.02,0.71,11.7,"bueno"
"857",0.36,0.39,0.73,10.9,"normal"
"858",0.26,0.34,0.78,11.3,"bueno"
"859",0.28,0.47,0.67,10.6,"bueno"
"860",0.56,0.22,0.82,11.2,"normal"
"861",0.62,0.06,0.54,9.5,"normal"
"862",1.01,0.66,0.6,11.5,"normal"
"863",0.42,0.32,0.44,10.4,"normal"
"864",0.62,0.06,0.53,9.7,"normal"
"865",0.62,0.06,0.54,9.5,"normal"
"866",0.635,0.07,0.54,9.7,"normal"
"867",0.49,0.22,0.83,11.3,"normal"
"868",0.51,0.23,0.84,11.2,"normal"
"869",0.56,0.22,0.82,11.2,"normal"
"870",0.63,0.03,0.64,10.9,"normal"
"871",0.715,0.01,0.57,11.8,"normal"
"872",0.56,0.03,0.57,10.6,"normal"
"873",0.35,0.24,0.54,10,"pobre"
"874",0.21,0.37,0.58,11.1,"bueno"
"875",0.38,0.46,0.65,11.8,"bueno"
"876",0.31,0.4,0.79,11.8,"bueno"
"877",0.47,0,0.58,10.9,"pobre"
"878",0.715,0.01,0.57,11.8,"normal"
"879",0.61,0.19,0.5,10,"normal"
"880",0.6,0.04,0.55,9.5,"normal"
"881",0.56,0.18,0.49,9.9,"normal"
"882",0.715,0,0.65,11.4,"normal"
"883",0.31,0.29,0.78,12,"normal"
"884",0.6,0.04,0.55,9.5,"normal"
"885",0.61,0.19,0.5,10,"normal"
"886",0.75,0.14,0.64,10.5,"normal"
"887",0.8,0.12,0.65,10.4,"normal"
"888",0.52,0.38,0.79,12.1,"bueno"
"889",0.57,0,0.56,11.2,"normal"
"890",0.9,0.34,0.68,9.3,"normal"
"891",0.34,0.24,0.58,10.1,"normal"
"892",0.66,0.03,0.57,9.7,"normal"
"893",0.45,0.23,0.65,9.3,"normal"
"894",0.66,0.03,0.57,9.7,"normal"
"895",0.63,0.03,0.58,9.8,"normal"
"896",0.59,0.01,0.58,10.7,"normal"
"897",0.31,0.39,0.77,12.5,"bueno"
"898",0.59,0.01,0.58,10.7,"normal"
"899",0.31,0.39,0.77,12.5,"bueno"
"900",1.02,0.02,0.49,11,"pobre"
"901",0.31,0.36,0.69,11.8,"normal"
"902",0.635,0.1,0.69,10.8,"bueno"
"903",0.635,0.1,0.69,10.8,"bueno"
"904",0.59,0.06,0.59,10.8,"bueno"
"905",0.59,0.06,0.59,10.8,"bueno"
"906",0.58,0.2,0.59,9.5,"normal"
"907",0.54,0.27,0.71,11,"normal"
"908",0.56,0,0.54,11.5,"normal"
"909",0.52,0.13,0.59,10.8,"normal"
"910",0.305,0.39,0.52,11.5,"normal"
"911",0.38,0.48,0.57,13.2,"normal"
"912",0.28,0.46,0.6,10.9,"normal"
"913",0.46,0.44,0.62,12.2,"normal"
"914",0.395,0.46,0.64,12.2,"bueno"
"915",0.305,0.39,0.52,11.5,"normal"
"916",0.315,0.4,0.67,11.9,"normal"
"917",0.715,0.19,0.61,11,"normal"
"918",0.41,0.31,0.64,10.1,"normal"
"919",0.36,0.32,0.72,11,"normal"
"920",0.62,0.12,0.89,11.8,"normal"
"921",0.41,0.37,0.56,10.5,"normal"
"922",0.36,0.32,0.72,11,"normal"
"923",0.62,0.12,0.89,11.8,"normal"
"924",0.41,0.31,0.64,10.1,"normal"
"925",0.47,0.27,0.8,11.2,"normal"
"926",0.22,0.36,0.87,11,"bueno"
"927",0.24,0.33,0.9,10.2,"normal"
"928",0.67,0.19,0.59,9.2,"pobre"
"929",0.47,0.27,0.8,11.2,"normal"
"930",0.33,0.38,0.73,12,"bueno"
"931",0.61,0.01,0.73,10.5,"normal"
"932",0.61,0.01,0.65,9.8,"normal"
"933",0.4,0.29,0.59,9.5,"normal"
"934",0.61,0.01,0.65,9.8,"normal"
"935",0.61,0.01,0.73,10.5,"normal"
"936",0.3,0.38,0.72,11.8,"normal"
"937",0.3,0.38,0.72,11.8,"normal"
"938",0.63,0.5,0.6,10.4,"pobre"
"939",0.38,0.38,0.72,12.9,"bueno"
"940",0.46,0.17,0.54,11.4,"normal"
"941",0.33,0.52,0.76,12.4,"bueno"
"942",0.27,0.49,0.52,12.5,"bueno"
"943",0.43,0.4,0.64,10,"bueno"
"944",0.5,0.34,0.6,9.7,"bueno"
"945",0.3,0.49,0.64,12.1,"bueno"
"946",0.44,0.42,0.79,11.1,"bueno"
"947",0.44,0.58,0.99,12,"bueno"
"948",0.28,0.48,0.62,12.4,"bueno"
"949",0.12,0.45,0.76,11.9,"bueno"
"950",0.12,0.45,0.76,11.9,"bueno"
"951",0.12,0.45,0.76,11.9,"bueno"
"952",0.28,0.48,0.62,12.4,"bueno"
"953",0.31,0.4,0.68,11.2,"bueno"
"954",0.34,0.48,0.69,12.1,"bueno"
"955",0.43,0.4,0.54,12.2,"normal"
"956",0.21,0.52,0.67,10.4,"normal"
"957",0.36,0.52,0.62,11.3,"normal"
"958",0.37,0.52,0.58,11.1,"normal"
"959",0.57,0.12,0.71,11.3,"bueno"
"960",0.59,0.05,0.61,10,"normal"
"961",0.47,0.27,0.85,11.1,"normal"
"962",0.56,0.14,0.62,9.3,"normal"
"963",0.57,0.02,0.69,9.5,"normal"
"964",0.27,0.39,0.69,11.2,"normal"
"965",0.47,0.27,0.85,11.1,"normal"
"966",0.34,0.4,0.86,11,"normal"
"967",0.38,0.41,0.58,11.9,"bueno"
"968",0.66,0.2,0.48,9.2,"normal"
"969",0.4,0.43,0.6,12.2,"normal"
"970",0.56,0.09,0.61,10.2,"normal"
"971",0.26,0.48,0.87,10.9,"normal"
"972",0.26,0.48,0.87,10.9,"normal"
"973",0.38,0.5,0.65,11.6,"bueno"
"974",0.34,0.44,0.63,10.7,"normal"
"975",0.33,0.41,0.62,12.1,"bueno"
"976",0.41,0.3,0.52,9.4,"normal"
"977",0.41,0.3,0.52,9.4,"normal"
"978",0.59,0.29,0.5,9.1,"normal"
"979",0.4,0.32,0.49,11.3,"bueno"
"980",0.45,0.49,0.63,10.4,"normal"
"981",0.5,0.3,0.71,10.5,"normal"
"982",0.86,0.26,0.62,10,"normal"
"983",0.52,0.32,0.82,12.9,"normal"
"984",0.5,0.3,0.71,10.5,"normal"
"985",0.45,0.49,0.63,10.4,"normal"
"986",0.58,0,0.58,11.3,"normal"
"987",0.34,0.39,0.55,11.4,"bueno"
"988",0.36,0.3,0.5,9.4,"normal"
"989",0.39,0.12,0.49,9.4,"normal"
"990",0.295,0.4,0.51,10.9,"normal"
"991",0.39,0.12,0.49,9.4,"normal"
"992",0.34,0.28,0.48,9.4,"normal"
"993",0.4,0.1,0.48,9.4,"normal"
"994",0.34,0.28,0.48,9.4,"normal"
"995",0.35,0.45,0.43,9.4,"normal"
"996",0.6,0.06,0.62,10.1,"normal"
"997",0.66,0,0.63,12.8,"bueno"
"998",0.66,0,0.63,12.8,"bueno"
"999",0.84,0.34,0.48,9.1,"normal"
"1000",0.69,0,0.53,12.9,"normal"
"1001",0.43,0.3,0.72,11.5,"bueno"
"1002",0.35,0.38,0.82,10.6,"bueno"
"1003",0.29,0.33,0.84,11.7,"bueno"
"1004",0.36,0.32,0.55,12.8,"bueno"
"1005",0.43,0.29,0.54,10.3,"normal"
"1006",0.36,0.32,0.55,12.8,"bueno"
"1007",0.29,0.33,0.84,11.7,"bueno"
"1008",0.3,0.34,0.84,11.7,"bueno"
"1009",0.35,0.4,0.7,12,"bueno"
"1010",0.5,0.36,0.68,10.9,"normal"
"1011",0.28,0.45,0.55,12.3,"bueno"
"1012",0.32,0.31,0.55,10.4,"normal"
"1013",1.005,0.15,0.48,10,"normal"
"1014",0.71,0,0.58,10,"normal"
"1015",0.58,0.16,0.58,11.2,"normal"
"1016",0.39,0.46,0.84,11.4,"normal"
"1017",0.38,0.4,0.75,12.6,"bueno"
"1018",0.18,0.37,0.44,12.7,"normal"
"1019",0.18,0.37,0.44,12.7,"normal"
"1020",0.5,0.14,0.61,10.4,"normal"
"1021",0.36,0.66,0.53,11.9,"normal"
"1022",0.36,0.66,0.53,11.9,"normal"
"1023",0.51,0.09,0.54,10.5,"normal"
"1024",0.32,0.42,0.55,12.3,"normal"
"1025",0.58,0.01,0.56,10.5,"bueno"
"1026",0.83,0,0.6,10.4,"normal"
"1027",0.31,0.32,0.56,12.6,"normal"
"1028",0.795,0,0.52,11.6,"normal"
"1029",0.34,0.21,0.54,10.1,"normal"
"1030",0.58,0.01,0.56,10.5,"bueno"
"1031",0.59,0,0.55,11.5,"bueno"
"1032",0.55,0.01,0.58,11,"bueno"
"1033",0.82,0,0.53,9.6,"normal"
"1034",0.57,0.08,0.59,10.4,"normal"
"1035",0.745,0.18,0.47,9.7,"normal"
"1036",0.37,0.34,0.65,10.6,"bueno"
"1037",0.31,0.34,0.59,12.5,"bueno"
"1038",0.91,0.1,0.56,9.2,"normal"
"1039",0.41,0.41,0.77,12.6,"bueno"
"1040",0.5,0.21,0.83,11.1,"normal"
"1041",0.965,0,0.67,10.2,"normal"
"1042",0.49,0.19,0.64,9.8,"normal"
"1043",0.5,0.21,0.83,11.1,"normal"
"1044",0.39,0.41,0.81,10.9,"bueno"
"1045",0.39,0.33,0.62,12.2,"normal"
"1046",0.44,0,0.58,11.4,"normal"
"1047",0.78,0,0.62,10.7,"normal"
"1048",0.43,0.17,0.64,10.4,"normal"
"1049",0.49,0.36,0.78,10.9,"normal"
"1050",0.5,0.36,0.77,10.8,"normal"
"1051",0.43,0.17,0.64,10.4,"normal"
"1052",0.46,0.59,1.34,9.2,"normal"
"1053",0.605,0.05,0.55,12.9,"normal"
"1054",0.33,0.42,0.77,12.7,"bueno"
"1055",0.64,0.27,0.62,9.1,"normal"
"1056",0.64,0.27,0.62,9.1,"normal"
"1057",0.48,0.53,0.59,12.1,"bueno"
"1058",0.42,0.25,0.57,9.1,"normal"
"1059",0.53,0.57,0.76,11.6,"bueno"
"1060",0.48,0.53,0.59,12.1,"bueno"
"1061",0.23,0.57,0.7,9.9,"normal"
"1062",0.4,0.5,0.69,12.5,"bueno"
"1063",0.38,0.44,0.64,11.4,"normal"
"1064",0.29,0.65,0.63,11.8,"normal"
"1065",0.74,0.09,0.57,11.8,"normal"
"1066",0.61,0.18,0.6,10.2,"normal"
"1067",0.52,0.08,0.72,12.5,"bueno"
"1068",0.31,0.53,0.83,10.9,"bueno"
"1069",0.31,0.53,0.83,10.9,"bueno"
"1070",0.62,0.35,0.62,10.8,"normal"
"1071",0.33,0.45,0.89,11.1,"bueno"
"1072",0.77,0.2,0.58,9.2,"normal"
"1073",0.35,0.26,0.58,9.5,"normal"
"1074",0.62,0.33,0.58,10.7,"normal"
"1075",0.77,0.2,0.58,9.2,"normal"
"1076",0.25,0.34,0.86,10.2,"bueno"
"1077",0.32,0.56,0.73,11.4,"normal"
"1078",0.37,0.65,0.58,11,"normal"
"1079",0.37,0.65,0.58,11,"normal"
"1080",0.3,0.68,0.51,12.3,"bueno"
"1081",0.27,0.56,0.51,11.8,"normal"
"1082",0.3,0.68,0.51,12.3,"bueno"
"1083",0.38,0.3,0.59,9.5,"normal"
"1084",0.42,0.45,0.77,12,"normal"
"1085",0.38,0.3,0.59,9.5,"normal"
"1086",0.48,0.08,0.49,9.6,"normal"
"1087",0.34,0.4,0.66,11.6,"bueno"
"1088",0.19,0.42,0.69,11.2,"normal"
"1089",0.41,0.54,0.76,9.9,"bueno"
"1090",0.41,0.54,0.76,9.9,"bueno"
"1091",0.26,0.54,0.63,11.8,"bueno"
"1092",0.34,0.42,0.6,11.4,"normal"
"1093",0.54,0.09,0.59,11.5,"normal"
"1094",0.31,0.36,0.86,12,"bueno"
"1095",0.725,0.09,0.49,10.8,"normal"
"1096",0.4,0.47,0.5,10.5,"normal"
"1097",0.725,0.09,0.49,10.8,"normal"
"1098",0.52,0.38,0.52,9.4,"normal"
"1099",0.31,0.45,0.81,12.5,"bueno"
"1100",0.52,0.38,0.52,9.4,"normal"
"1101",0.34,0.42,0.78,12.4,"normal"
"1102",0.49,0.27,0.63,12,"normal"
"1103",0.48,0.09,0.54,11.2,"normal"
"1104",0.49,0.27,0.63,12,"normal"
"1105",0.48,0.34,0.66,12.4,"normal"
"1106",0.57,0.28,0.6,12.8,"normal"
"1107",0.23,0.42,0.54,12.3,"normal"
"1108",0.3,0.41,0.85,11.7,"bueno"
"1109",0.78,0.1,0.49,9.5,"normal"
"1110",0.47,0.43,0.76,10.8,"normal"
"1111",0.53,0,0.64,10,"normal"
"1112",0.42,0.27,0.64,12.3,"bueno"
"1113",0.33,0.41,0.71,11,"normal"
"1114",0.24,0.39,0.59,9.5,"normal"
"1115",0.4,0.5,0.66,13.6,"normal"
"1116",0.69,0.07,0.6,11.3,"normal"
"1117",0.69,0.07,0.6,11.3,"normal"
"1118",0.69,0.07,0.6,11.3,"normal"
"1119",0.39,0.12,0.53,13.3,"normal"
"1120",0.66,0,0.58,12.9,"normal"
"1121",0.54,0.34,0.72,13.1,"bueno"
"1122",0.5,0,0.55,12.3,"normal"
"1123",0.47,0,0.48,12.3,"normal"
"1124",0.4,0.37,0.65,11.2,"normal"
"1125",0.58,0,0.62,11.5,"pobre"
"1126",0.24,0.35,0.59,11.3,"bueno"
"1127",0.29,0.26,0.54,13.5,"normal"
"1128",0.76,0,0.6,11.5,"normal"
"1129",0.43,0.33,0.68,10,"normal"
"1130",0.43,0.35,0.69,10.5,"normal"
"1131",0.6,0,0.63,10.4,"normal"
"1132",0.19,0.21,0.44,9.5,"normal"
"1133",0.36,0.34,0.88,13.6,"bueno"
"1134",0.48,0.07,0.68,11.2,"bueno"
"1135",0.28,0.35,0.74,11.8,"bueno"
"1136",0.25,0.43,0.6,11.9,"normal"
"1137",0.52,0.45,0.76,11.4,"normal"
"1138",0.52,0.45,0.76,11.4,"normal"
"1139",0.41,0.15,0.58,9.1,"normal"
"1140",0.51,0.24,0.64,9.5,"normal"
"1141",0.4,0.3,0.65,9.5,"normal"
"1142",0.38,0.32,0.85,11,"normal"
"1143",0.45,0.11,0.65,11.4,"normal"
"1144",0.22,0.3,0.82,10,"normal"
"1145",0.32,0.23,0.62,10.1,"normal"
"1146",0.2,0.43,0.81,10.4,"normal"
"1147",0.5,0.12,0.87,9.8,"normal"
"1148",0.41,0.45,0.49,11.8,"bueno"
"1149",0.39,0.42,0.66,11.6,"normal"
"1150",0.35,0.47,0.52,12,"normal"
"1151",0.33,0.32,0.76,12.8,"bueno"
"1152",0.58,0.23,0.65,12.5,"normal"
"1153",0.6,0.25,0.53,9.8,"normal"
"1154",0.42,0.35,0.66,11.1,"normal"
"1155",0.58,0,0.68,11.4,"normal"
"1156",0.6,0.25,0.53,9.8,"normal"
"1157",0.18,0.51,0.76,11.8,"bueno"
"1158",0.51,0.18,0.87,12.9,"bueno"
"1159",0.41,0.43,1.16,10.6,"normal"
"1160",0.41,0.43,0.67,10.8,"normal"
"1161",0.36,0.57,0.72,11.1,"bueno"
"1162",0.45,0.43,0.75,10.2,"normal"
"1163",0.32,0.42,0.71,11.8,"bueno"
"1164",0.785,0.24,0.67,10,"normal"
"1165",0.785,0.24,0.67,10,"normal"
"1166",0.44,0.5,1.1,9.4,"normal"
